legajo,nombre,nota
1,Barby,10
2,Win,4
3,Jereme,2
4,Alison,10
5,Gabbi,9
6,Geraldine,9
7,Skippy,8
8,Amalee,5
9,Saraann,3
10,Gilbert,10
11,Ezechiel,5
12,Jamaal,8
13,Pearce,7
14,Vance,8
15,Lanita,7
16,Rubia,8
17,Randolf,10
18,Odie,8
19,Dermot,2
20,Kristen,3
21,Mair,8
22,Raff,1
23,Pacorro,2
24,Audie,10
25,Calvin,7
26,Valeria,1
27,Barrie,6
28,Karly,1
29,Megen,8
30,Marmaduke,9
31,Jaclyn,3
32,Maggie,8
33,Anatollo,2
34,Wiley,6
35,Tulley,8
36,Gunar,9
37,Carmelina,2
38,Caryl,10
39,Feodor,1
40,Burt,4
41,Zebulen,7
42,Laetitia,3
43,Rouvin,8
44,Barbie,1
45,Agnes,8
46,Eugenius,10
47,Elliot,4
48,Michel,8
49,Wyatan,4
50,Haze,3
51,Byram,7
52,Marlane,7
53,Lil,9
54,Kanya,10
55,Fenelia,7
56,Leontyne,10
57,Libbey,8
58,Logan,3
59,Sunshine,8
60,Lianne,10
61,Kasey,3
62,Dorthea,1
63,Derek,5
64,Nevile,1
65,Harlen,5
66,Delores,7
67,Rodie,1
68,Malissia,7
69,Anastasia,6
70,Beniamino,3
71,Lorrayne,3
72,Mersey,8
73,Corey,9
74,Sonja,8
75,Lissie,2
76,Butch,5
77,Tobin,1
78,Fayina,3
79,Alfie,7
80,Dorolice,10
81,Hatti,8
82,Lavinie,4
83,Cindie,2
84,Rhody,1
85,Auria,3
86,Tamqrah,4
87,Carmelina,4
88,Zena,10
89,Willetta,10
90,Tamara,9
91,Katleen,9
92,Fernanda,6
93,Olivier,7
94,Melania,9
95,Innis,9
96,Goraud,6
97,Raviv,10
98,Lenette,1
99,Mae,7
100,Romona,10
101,Agneta,10
102,Belita,9
103,Grazia,4
104,Arte,6
105,Veronica,10
106,Annaliese,7
107,Colene,1
108,Leshia,9
109,Ronny,7
110,Shandra,8
111,Georgette,6
112,Giacopo,4
113,Cullen,5
114,Shepperd,7
115,Regina,6
